Roll_No,Gender,Race_Ethnicity,Parental_Level_Of_Education,Lunch,Test_Preparation_Course,Math Score,Reading Score,Writing Score,Science Score,Total Score,Grade _,Eligibility,Percentage,Rank ,,Subject,Centum Count
Std-992,Male,Group D,High School,0,0,46,67,84,46,243,C,Eligible,60.75,7042,,,
Std-9919,Female,Group D,Some High School,1,1,73,51,80,78,282,B,Eligible,70.5,3602,,,
Std-9918,Female,Group B,Some College,0,0,50,100,88,66,304,B,Eligible,76,1729,,,
Std-9917,Female,Group A,Associate'S Degree,1,1,63,97,65,54,279,B,Eligible,69.75,3892,,,
Std-9916,Female,Group C,Some College,1,0,78,53,68,71,270,B,Eligible,67.5,4738,,,
Std-9915,Female,Group C,Some College,0,0,89,76,85,69,319,B,Eligible,79.75,905,,,
Std-9914,Female,Group E,Some High School,1,1,65,84,80,50,279,B,Eligible,69.75,3892,,,
Std-9913,Female,Group B,Some High School,1,0,65,81,73,54,273,B,Eligible,68.25,4466,,,
Std-9912,Female,Group C,High School,1,0,27,51,86,64,228,C,Eligible,57,8042,,,
Std-9911,Female,Group A,Some College,0,1,74,87,73,42,276,B,Eligible,69,4166,,,
Std-9910,Female,Group C,Some College,1,0,65,39,52,68,224,C,Eligible,56,8276,,,
Std-991,Male,Group B,Some High School,1,0,25,78,62,61,226,C,Eligible,56.5,8156,,,
Std-9909,Female,Group E,Bachelor'S Degree,1,1,73,75,100,66,314,B,Eligible,78.5,1135,,,
Std-9908,Female,Group B,Some High School,0,0,79,83,87,53,302,B,Eligible,75.5,1870,,,
Std-9907,Female,Group E,Associate'S Degree,1,0,62,86,74,72,294,B,Eligible,73.5,2500,,,
Std-9906,Female,Group B,Associate'S Degree,1,1,62,53,91,44,250,B,Eligible,62.5,6492,,,
Std-9905,Female,Group C,Associate'S Degree,1,0,57,86,91,84,318,B,Eligible,79.5,956,,,
Std-9904,Female,Group B,Associate'S Degree,1,1,97,48,61,75,281,B,Eligible,70.25,3684,,,
Std-9903,Female,Group C,Associate'S Degree,1,0,100,38,97,46,281,B,Eligible,70.25,3684,,,
Std-9902,Female,Group C,Associate'S Degree,1,1,86,51,53,63,253,B,Eligible,63.25,6243,,,
Std-9901,Female,Group C,Some High School,1,0,63,55,65,44,227,C,Eligible,56.75,8092,,,
Std-9900,Female,Group B,High School,1,1,67,65,69,58,259,B,Eligible,64.75,5736,,,
Std-990,Male,Group B,Some High School,1,0,20,85,87,57,249,C,Eligible,62.25,6567,,,
Std-99,Male,Group D,Master'S Degree,0,0,47,64,54,23,188,D,Not Eligible,47,9533,,,
Std-9899,Female,Group D,Some High School,0,1,73,76,100,33,282,B,Eligible,70.5,3602,,,
Std-9898,Female,Group D,Some High School,1,1,79,57,100,87,323,A,Eligible,80.75,714,,,
Std-9897,Female,Group E,High School,1,1,55,55,75,89,274,B,Eligible,68.5,4358,,,
Std-9896,Female,Group D,Bachelor'S Degree,1,0,42,88,83,57,270,B,Eligible,67.5,4738,,,
Std-9895,Female,Group C,Some College,1,0,67,41,89,57,254,B,Eligible,63.5,6155,,,
Std-9894,Female,Group D,Some High School,1,0,60,52,91,66,269,B,Eligible,67.25,4839,,,
Std-9893,Female,Group D,Some College,1,1,39,76,86,74,275,B,Eligible,68.75,4259,,,
Std-9892,Female,Group D,Some High School,0,0,48,100,61,66,275,B,Eligible,68.75,4259,,,
Std-9891,Female,Group E,Associate'S Degree,1,0,84,86,72,99,341,A,Eligible,85.25,235,,,
Std-9890,Female,Group D,Some High School,1,1,72,99,66,60,297,B,Eligible,74.25,2266,,,
Std-989,Male,Group B,Bachelor'S Degree,1,0,24,71,69,63,227,C,Eligible,56.75,8092,,,
Std-9889,Female,Group D,Bachelor'S Degree,1,0,76,52,83,62,273,B,Eligible,68.25,4466,,,
Std-9888,Female,Group C,Some College,1,1,86,61,91,68,306,B,Eligible,76.5,1607,,,
Std-9887,Female,Group D,Bachelor'S Degree,0,0,70,27,76,90,263,B,Eligible,65.75,5373,,,
Std-9886,Female,Group C,Some High School,1,0,60,77,95,55,287,B,Eligible,71.75,3143,,,
Std-9885,Female,Group B,Some College,1,0,60,62,76,87,285,B,Eligible,71.25,3320,,,
Std-9884,Female,Group C,Some High School,1,0,64,87,79,64,294,B,Eligible,73.5,2500,,,
Std-9883,Female,Group D,Some College,1,1,64,55,100,94,313,B,Eligible,78.25,1192,,,
Std-9882,Female,Group B,Associate'S Degree,1,1,63,80,79,57,279,B,Eligible,69.75,3892,,,
Std-9881,Female,Group A,Some College,0,1,64,68,77,71,280,B,Eligible,70,3790,,,
Std-9880,Female,Group E,High School,0,0,71,94,72,60,297,B,Eligible,74.25,2266,,,
Std-988,Male,Group A,Some College,1,0,47,93,95,46,281,B,Eligible,70.25,3684,,,
Std-9879,Female,Group C,Associate'S Degree,1,1,62,70,59,77,268,B,Eligible,67,4934,,,
Std-9878,Female,Group D,Some College,1,1,62,75,58,87,282,B,Eligible,70.5,3602,,,
Std-9877,Female,Group A,Bachelor'S Degree,1,1,52,43,98,80,273,B,Eligible,68.25,4466,,,
Std-9876,Female,Group C,Some High School,0,0,27,95,76,66,264,B,Eligible,66,5291,,,
Std-9875,Female,Group B,Some College,0,1,58,85,77,51,271,B,Eligible,67.75,4646,,,
Std-9874,Female,Group D,Some High School,1,0,62,78,63,66,269,B,Eligible,67.25,4839,,,
Std-9873,Female,Group C,High School,1,0,93,58,43,62,256,B,Eligible,64,5987,,,
Std-9872,Female,Group C,Some College,1,0,72,33,90,86,281,B,Eligible,70.25,3684,,,
Std-9871,Female,Group B,Some College,1,0,55,100,78,32,265,B,Eligible,66.25,5197,,,
Std-9870,Female,Group C,Some High School,1,1,72,100,83,68,323,A,Eligible,80.75,714,,,
Std-987,Male,Group D,Some College,1,1,78,62,62,78,280,B,Eligible,70,3790,,,
Std-9869,Female,Group C,High School,1,0,44,100,89,60,293,B,Eligible,73.25,2602,,,
Std-9868,Female,Group B,Associate'S Degree,0,0,67,100,61,54,282,B,Eligible,70.5,3602,,,
Std-9867,Female,Group E,High School,1,1,69,100,56,72,297,B,Eligible,74.25,2266,,,
Std-9866,Female,Group D,Some College,1,1,74,100,79,76,329,A,Eligible,82.25,526,,,
Std-9865,Female,Group C,Some High School,1,0,42,73,36,68,219,C,Eligible,54.75,8530,,,
Std-9864,Female,Group A,Some College,1,0,52,89,62,49,252,B,Eligible,63,6320,,,
Std-9863,Female,Group C,Associate'S Degree,1,1,62,76,56,42,236,C,Eligible,59,7557,,,
Std-9862,Female,Group C,High School,1,1,85,51,100,88,324,A,Eligible,81,688,,,
Std-9861,Female,Group C,High School,1,0,47,53,74,92,266,B,Eligible,66.5,5101,,,
Std-9860,Female,Group C,Some College,1,1,45,37,80,67,229,C,Eligible,57.25,7986,,,
Std-986,Male,Group B,Some High School,1,0,66,74,55,47,242,C,Eligible,60.5,7111,,,
Std-9859,Female,Group D,Some College,1,1,100,94,40,42,276,B,Eligible,69,4166,,,
Std-9858,Female,Group E,Some High School,1,1,50,54,95,59,258,B,Eligible,64.5,5822,,,
Std-9857,Female,Group D,Associate'S Degree,1,1,100,83,64,55,302,B,Eligible,75.5,1870,,,
Std-9856,Female,Group D,Master'S Degree,1,0,81,77,80,57,295,B,Eligible,73.75,2414,,,
Std-9855,Female,Group E,Some High School,1,0,61,67,70,66,264,B,Eligible,66,5291,,,
Std-9854,Female,Group B,Some College,1,0,56,74,69,78,277,B,Eligible,69.25,4080,,,
Std-9853,Female,Group A,Associate'S Degree,1,1,31,100,79,46,256,B,Eligible,64,5987,,,
Std-9852,Female,Group C,Some High School,1,1,73,95,43,75,286,B,Eligible,71.5,3238,,,
Std-9851,Female,Group D,High School,1,0,65,78,100,69,312,B,Eligible,78,1247,,,
Std-9850,Female,Group C,Some College,1,0,73,58,33,64,228,C,Eligible,57,8042,,,
Std-985,Male,Group D,Associate'S Degree,1,0,59,89,88,74,310,B,Eligible,77.5,1359,,,
Std-9849,Female,Group A,Some High School,1,1,75,89,100,90,354,A,Eligible,88.5,80,,,
Std-9848,Female,Group E,Associate'S Degree,1,0,61,59,77,58,255,B,Eligible,63.75,6070,,,
Std-9847,Female,Group B,Associate'S Degree,0,1,79,70,56,85,290,B,Eligible,72.5,2860,,,
Std-9846,Female,Group B,Master'S Degree,1,0,72,42,70,68,252,B,Eligible,63,6320,,,
Std-9845,Female,Group C,Some High School,0,0,27,68,76,67,238,C,Eligible,59.5,7419,,,
Std-9844,Female,Group E,Bachelor'S Degree,1,0,86,52,76,80,294,B,Eligible,73.5,2500,,,
Std-9843,Female,Group C,Some High School,1,0,97,38,78,67,280,B,Eligible,70,3790,,,
Std-9842,Female,Group C,Some College,1,0,32,85,70,71,258,B,Eligible,64.5,5822,,,
Std-9841,Female,Group D,High School,1,1,60,71,91,80,302,B,Eligible,75.5,1870,,,
Std-9840,Female,Group D,Associate'S Degree,1,0,49,77,73,58,257,B,Eligible,64.25,5905,,,
Std-984,Male,Group B,Some High School,1,0,28,75,63,66,232,C,Eligible,58,7813,,,
Std-9839,Female,Group C,Some College,1,0,44,54,100,89,287,B,Eligible,71.75,3143,,,
Std-9838,Female,Group D,Some College,1,0,96,42,82,51,271,B,Eligible,67.75,4646,,,
Std-9837,Female,Group E,Bachelor'S Degree,1,0,89,50,74,81,294,B,Eligible,73.5,2500,,,
Std-9836,Female,Group E,Some College,1,1,27,69,90,98,284,B,Eligible,71,3422,,,
Std-9835,Female,Group E,Some College,1,1,56,41,89,50,236,C,Eligible,59,7557,,,
Std-9834,Female,Group B,Some High School,1,1,56,70,85,100,311,B,Eligible,77.75,1306,,,
Std-9833,Female,Group B,Associate'S Degree,1,0,74,65,79,74,292,B,Eligible,73,2692,,,
Std-9832,Female,Group C,Some High School,1,0,52,88,70,80,290,B,Eligible,72.5,2860,,,
Std-9831,Female,Group C,High School,1,0,60,81,71,78,290,B,Eligible,72.5,2860,,,
Std-9830,Female,Group E,Associate'S Degree,1,1,59,44,72,61,236,C,Eligible,59,7557,,,
Std-983,Male,Group E,Some High School,0,1,7,60,61,56,184,D,Not Eligible,46,9615,,,
Std-9829,Female,Group B,Bachelor'S Degree,1,1,34,70,71,64,239,C,Eligible,59.75,7336,,,
Std-9828,Female,Group B,Associate'S Degree,1,0,78,44,89,72,283,B,Eligible,70.75,3512,,,
Std-9827,Female,Group D,Bachelor'S Degree,0,0,69,30,65,75,239,C,Eligible,59.75,7336,,,
Std-9826,Female,Group C,Bachelor'S Degree,1,0,55,80,90,64,289,B,Eligible,72.25,2964,,,
Std-9825,Female,Group B,Some High School,0,1,59,47,78,50,234,C,Eligible,58.5,7684,,,
Std-9824,Female,Group B,Some College,1,0,51,51,66,91,259,B,Eligible,64.75,5736,,,
Std-9823,Female,Group B,Associate'S Degree,1,0,66,50,56,52,224,C,Eligible,56,8276,,,
Std-9822,Female,Group E,High School,1,0,27,68,82,89,266,B,Eligible,66.5,5101,,,
Std-9821,Female,Group C,Associate'S Degree,1,0,45,75,80,91,291,B,Eligible,72.75,2781,,,
Std-9820,Female,Group A,Some High School,1,1,39,100,56,75,270,B,Eligible,67.5,4738,,,
Std-982,Male,Group D,Master'S Degree,1,1,21,64,36,76,197,D,Not Eligible,49.25,9317,,,
Std-9819,Female,Group C,High School,0,0,44,91,72,80,287,B,Eligible,71.75,3143,,,
Std-9818,Female,Group C,Associate'S Degree,1,0,85,92,59,68,304,B,Eligible,76,1729,,,
Std-9817,Female,Group D,Bachelor'S Degree,1,0,64,73,82,59,278,B,Eligible,69.5,3990,,,
Std-9816,Female,Group C,Associate'S Degree,0,0,51,75,82,67,275,B,Eligible,68.75,4259,,,
Std-9815,Female,Group B,Master'S Degree,0,0,66,76,86,41,269,B,Eligible,67.25,4839,,,
Std-9814,Female,Group B,Some College,0,0,75,70,80,84,309,B,Eligible,77.25,1419,,,
Std-9813,Female,Group C,High School,1,1,61,89,82,51,283,B,Eligible,70.75,3512,,,
Std-9812,Female,Group C,Bachelor'S Degree,1,0,63,35,96,68,262,B,Eligible,65.5,5475,,,
Std-9811,Female,Group D,Some College,1,0,70,72,74,86,302,B,Eligible,75.5,1870,,,
Std-9810,Female,Group B,Associate'S Degree,0,1,50,100,69,69,288,B,Eligible,72,3038,,,
Std-981,Male,Group C,Bachelor'S Degree,1,0,64,94,88,47,293,B,Eligible,73.25,2602,,,
Std-9809,Female,Group C,Some College,1,1,80,30,63,61,234,C,Eligible,58.5,7684,,,
Std-9808,Female,Group D,Some College,1,0,83,47,49,72,251,B,Eligible,62.75,6404,,,
Std-9807,Female,Group D,Some High School,1,1,53,72,82,82,289,B,Eligible,72.25,2964,,,
Std-9806,Female,Group B,Associate'S Degree,1,0,50,71,51,85,257,B,Eligible,64.25,5905,,,
Std-9805,Female,Group C,Associate'S Degree,0,1,54,76,100,72,302,B,Eligible,75.5,1870,,,
Std-9804,Female,Group C,Some College,1,0,72,35,86,81,274,B,Eligible,68.5,4358,,,
Std-9803,Female,Group B,Bachelor'S Degree,1,1,90,56,86,56,288,B,Eligible,72,3038,,,
Std-9802,Female,Group B,Some High School,1,0,75,89,100,65,329,A,Eligible,82.25,526,,,
Std-9801,Female,Group D,Associate'S Degree,1,0,59,67,70,54,250,B,Eligible,62.5,6492,,,
Std-9800,Female,Group A,Some High School,1,0,43,73,85,75,276,B,Eligible,69,4166,,,
Std-980,Male,Group A,Some High School,0,0,33,63,100,95,291,B,Eligible,72.75,2781,,,
Std-98,Male,Group D,Some College,1,1,65,65,64,27,221,C,Eligible,55.25,8431,,,
Std-9799,Female,Group B,Some College,1,0,38,82,65,74,259,B,Eligible,64.75,5736,,,
Std-9798,Female,Group B,High School,1,1,68,71,62,50,251,B,Eligible,62.75,6404,,,
Std-9797,Female,Group C,Some High School,1,0,53,97,53,79,282,B,Eligible,70.5,3602,,,
Std-9796,Female,Group D,Bachelor'S Degree,1,1,69,80,74,62,285,B,Eligible,71.25,3320,,,
Std-9795,Female,Group D,Associate'S Degree,1,0,66,47,61,65,239,C,Eligible,59.75,7336,,,
Std-9794,Female,Group B,Some High School,1,0,59,100,90,86,335,A,Eligible,83.75,367,,,
Std-9793,Female,Group C,Some High School,1,1,45,40,76,82,243,C,Eligible,60.75,7042,,,
Std-9792,Female,Group D,Bachelor'S Degree,0,0,68,60,51,75,254,B,Eligible,63.5,6155,,,
Std-9791,Female,Group A,Bachelor'S Degree,0,1,27,67,83,59,236,C,Eligible,59,7557,,,
Std-9790,Female,Group E,Some College,1,0,66,60,63,40,229,C,Eligible,57.25,7986,,,
Std-979,Male,Group E,Associate'S Degree,0,0,75,74,73,95,317,B,Eligible,79.25,995,,,
Std-9789,Female,Group E,Some High School,1,0,79,59,97,44,279,B,Eligible,69.75,3892,,,
Std-9788,Female,Group A,Associate'S Degree,0,1,100,65,81,56,302,B,Eligible,75.5,1870,,,
Std-9787,Female,Group C,Some High School,1,0,92,57,63,53,265,B,Eligible,66.25,5197,,,
Std-9786,Female,Group E,Bachelor'S Degree,1,1,87,69,100,47,303,B,Eligible,75.75,1795,,,
Std-9785,Female,Group C,Some College,0,1,59,64,45,70,238,C,Eligible,59.5,7419,,,
Std-9784,Female,Group C,Some College,0,0,40,70,61,40,211,C,Eligible,52.75,8884,,,
Std-9783,Female,Group C,Some College,0,0,71,86,42,63,262,B,Eligible,65.5,5475,,,
Std-9782,Female,Group D,Associate'S Degree,0,0,58,45,44,40,187,D,Not Eligible,46.75,9555,,,
Std-9781,Female,Group C,Bachelor'S Degree,0,0,90,50,95,60,295,B,Eligible,73.75,2414,,,
Std-9780,Female,Group C,Associate'S Degree,1,0,87,89,55,71,302,B,Eligible,75.5,1870,,,
Std-978,Male,Group C,High School,0,1,41,83,83,91,298,B,Eligible,74.5,2190,,,
Std-9779,Female,Group C,Associate'S Degree,0,0,47,89,89,89,314,B,Eligible,78.5,1135,,,
Std-9778,Female,Group E,Associate'S Degree,0,0,81,55,87,100,323,A,Eligible,80.75,714,,,
Std-9777,Female,Group B,Associate'S Degree,1,1,94,38,82,51,265,B,Eligible,66.25,5197,,,
Std-9776,Female,Group C,High School,1,0,53,71,47,66,237,C,Eligible,59.25,7503,,,
Std-9775,Female,Group E,High School,1,0,47,61,96,82,286,B,Eligible,71.5,3238,,,
Std-9774,Female,Group C,Some High School,1,1,87,54,100,49,290,B,Eligible,72.5,2860,,,
Std-9773,Female,Group B,High School,0,1,39,74,52,50,215,C,Eligible,53.75,8725,,,
Std-9772,Female,Group C,Some College,1,0,28,72,72,68,240,C,Eligible,60,7273,,,
Std-9771,Female,Group D,Some College,0,0,60,74,80,62,276,B,Eligible,69,4166,,,
Std-9770,Female,Group E,Associate'S Degree,1,1,67,93,61,46,267,B,Eligible,66.75,5021,,,
Std-977,Male,Group D,Associate'S Degree,1,1,94,67,51,47,259,B,Eligible,64.75,5736,,,
Std-9769,Female,Group B,Master'S Degree,1,0,41,90,75,48,254,B,Eligible,63.5,6155,,,
Std-9768,Female,Group C,Master'S Degree,1,0,79,67,70,66,282,B,Eligible,70.5,3602,,,
Std-9767,Female,Group E,High School,1,1,53,32,71,66,222,C,Eligible,55.5,8375,,,
Std-9766,Female,Group C,Associate'S Degree,0,0,29,23,81,82,215,C,Eligible,53.75,8725,,,
Std-9765,Female,Group A,Some High School,1,0,56,80,70,91,297,B,Eligible,74.25,2266,,,
Std-9764,Female,Group C,Bachelor'S Degree,1,0,61,95,95,66,317,B,Eligible,79.25,995,,,
Std-9763,Female,Group C,Associate'S Degree,1,1,74,86,100,70,330,A,Eligible,82.5,494,,,
Std-9762,Female,Group C,Some High School,1,1,60,54,81,99,294,B,Eligible,73.5,2500,,,
Std-9761,Female,Group E,Associate'S Degree,1,1,54,57,26,45,182,D,Not Eligible,45.5,9654,,,
Std-9760,Female,Group D,High School,1,1,76,63,62,77,278,B,Eligible,69.5,3990,,,
Std-976,Male,Group C,High School,1,0,39,71,31,42,183,D,Not Eligible,45.75,9632,,,
Std-9759,Female,Group A,High School,1,0,51,89,78,77,295,B,Eligible,73.75,2414,,,
Std-9758,Female,Group B,High School,0,0,82,83,86,88,339,A,Eligible,84.75,274,,,
Std-9757,Female,Group D,Master'S Degree,0,0,37,45,75,45,202,C,Eligible,50.5,9190,,,
Std-9756,Female,Group C,High School,0,0,65,49,74,53,241,C,Eligible,60.25,7197,,,
Std-9755,Female,Group E,Some College,1,0,70,79,80,93,322,A,Eligible,80.5,754,,,
Std-9754,Female,Group B,Master'S Degree,1,0,85,62,87,71,305,B,Eligible,76.25,1658,,,
Std-9753,Female,Group D,Some College,1,1,54,60,50,87,251,B,Eligible,62.75,6404,,,
Std-9752,Female,Group A,Master'S Degree,1,1,30,56,65,79,230,C,Eligible,57.5,7929,,,
Std-9751,Female,Group C,Associate'S Degree,1,1,58,93,59,76,286,B,Eligible,71.5,3238,,,
Std-9750,Female,Group C,Master'S Degree,1,0,56,74,65,88,283,B,Eligible,70.75,3512,,,
Std-975,Male,Group E,Some High School,0,0,17,45,79,38,179,D,Not Eligible,44.75,9710,,,
